Tarif_Adi,Stemmed_Metin
Şakşukalı Kırmızı Biber Dolması,kırmız biber patates kabak patlıca sıvıyak domates sar kesme şeker tuz
Soğuk Mısır Çorbası,bulgur çorbalık mısır salatalık yoğurt dereo taze nane su zeytinyak tuz
Sultan Lokumu,süt toz şeker irmik toz krem şanti hindista ceviz
Sütlü Ovmaç Çorbası,süt yumur un tuz ter yak kırmız toz biber
Tavada Kuzu Pirzola Kızartma,kuz pirzol kekik kimyo sıvıyak tuz
Tavuklu Hünkar Beğendi,tavuk göğsü soğa domates yeşil biber kırmız toz biber tuz karabiber patlıca ter yak un süt kaşar peynir
Tekirdağ Köftesi,da kıyma soğa sar irmik karbonat karabiber kırmız toz biber kırmız pul biber kimyo tuz
Tencerede Sebzeli Et Yemeği,kuz et patates havuç soğa domates yeşil biber sar domates salças tuz karabiber
Terbiyeli Sebzeli Pirinçli Sulu Köfte Yemeği,kıyma soğa maydanoz domates salças pirinç gale un patates havuç su karabiber tuz terbi yumur sarıs limo su
Trileçe Arnavut Tatlısı,yumur toz şeker un kabartma toz vanilya süt süt kremas toz şeker süt toz karamel jöl
Yumurtalı Fasulye Turşusu Kavurması,taze fasulye turşus soğa ter yak yumur
Zeytinyağlı Yaprak Sarması,salamur asma yaprak soğa pirinç kuş üz dolmalık fıs dereo maydanoz toz şeker zeytinyak limo tuz karabiber
4 Kaşık Çorbası,yeşil mercimek kırmız mercimek bulgur pirinç sıcak su tuz yoğurt yumur sarıs un kur soğa zeytinyak kur nane kırmız pul biber
Erişteli Nohutlu Yayla Çorbası,eriş haşla nohut su tuz yoğurt yumur sarıs un tereayak kur nane kırmız pul biber
Közlenmiş Biberli Domates Çorbası,domates kapyabiber soğa sar domates salças ter yak zeytinyak un süt tuz kekik karabiber sıcak su
Pirinçli Yoğurt Çorbası,pirinç su tuz yoğurt yumur sarıs un ter yak kur nane
Arpa Şehriyeli Yoğurt Çorbası,arpa şehri sıv yağ sıcak su yoğurt yumur sarıs un tereayak kur nane
Bıt Bıt Çorbası,kıyma i bulgur haşla nohut kur soğa yumur un karabiber sıv yağ su tuz yoğurt yumur sarıs tereyak biber salças kur nane
Lokanta Usulü Tavuk Çorbası,tavuk göğsü fileto su ter yak sıv yağ un pirinç yumur sarıs yoğurt sar limo su
Alişke Çorbası,kemiksiz tavuk et patates soğa domates tereyak sıcak su tuz un su yumur limo su
Aşçıbaşı Çorbası,tavuk göğsü fileto kırmız mercimek tel şehri domates soğa tereyak sıv yağ un domates salças tavuk su tuz karabiber kur nane kırmız pul biber maydanoz
Bulgur Çorbası,kal bulgur soğa yeşil biber domates domates salças zeytinyak sıcak su maydanoz tuz
Gırar Çorbası,haşla buğday haşla nohut küçük boy kabak taze nane tereyak yoğurt yumur sarıs un su
Hidiv Çorbası,patates kabak havuç zeytinyak sıcak su tuz karabiber tereyak un soğuk su yumur sarıs süt dereo
Karamelize Soğanlı Çorba,soğa un zeytinyak tereyak süt su tuz karabiber
Kıymalı Erişte Çorbası,eris kıyma tereyak sıv yağ soğa domates salças sıcak su tuz yoğurt yumur sarıs un kur nane
Kolay Domates Çorbası,domates püres domates salças ter yak un su süt tuz karabiber
Kremasız Mantar Çorbası,kül mantar soğa sar tereyak zeytinyak un süt suy tuz karabiber
Lokanta Usulü Yayla Çorbası,pirinç yoğurt su yumur sarıs un tuz tereayak kur nane
Mantarlı Kuskuslu Tavuk Çorbası,tavuk budu kül mantar sıv yağ un tavuk su kuskus süt maydanoz tuz karabiber
Sakala Çarpan Çorbası,haşla yeşil mercimek eriş soğa domates salças tereyak zeytinyak su tuz karabiber nane
Sarımsaklı Un Çorbası,un tereyak zeytinyak sar su tuz karabiber kırmız toz biber kur nane sirke
Sebzeli Mantar Çorbası,kül mantar havuç kırmız kapya biber soğa sar dereo un tereyak zeytinyak ılık su süt tuz karabiber
Terbiyeli Tavuk Çorbası,tavuk but soğa tel şehri su tuz karabiber yumur sarıs limo su un çay bardak su
Topçata Çorbası,bulgur ir bulgur i sıcak su tuz kıyma kimyo yoğurt yumur sarıs maydanoz
Valide Sultan Çorbası,pirinç bulgur hazır garnitür su tuz kıyma soğa gale un yoğurt un tereyak kur nane
Yoğurtlu Semizotu Çorbası,semizot bulgur soğa zeytinyak su tuz yoğurt yumur sarıs un limo su
Artan Pilavdan Çorba,yoğurt yumur sarıs un su pirinç pilav tuz tereyak kur nane
Brüksel Lahanası Çorbası,brüksel lahanas zeytinyak un süt su karabiber tuz
Etli Bamya Çorbası,taze bamya kuşbaş doğra et küçük boy kur soğa or boy domates sarıkmsak domates salças biber salças ter yak zeytinyak limo su sıcak su tuz karabiber
Havuç Çorbası,havuç patates soğa tereyak un süt su karabiber tuz dereo
Havuçlu Mantar Çorbası,kül mantar havuç soğa sarıkmsak ter yak zeytinyak un tavuk su su süt dereo tuz karabiber
Helle Çorbası,un ter yak sıv yağ pirinç su tuz kırmız toz biber
İpek Çorbası,kırmız mercimek tavuk göğsü kırmız kapya biber havuç patates tavuk su süt un sıv yağ tuz tereyak kur naen kırmız kapya biber
Kavrulmuş Tarhana Çorbası,toz tarha ter yak domates salças biber salças sar su kırmız pul biber kur nane tuz
Köfteli Şehriye Çorbası,arpa şehri dolusudomates salças sıv yağ domates su tuz kıyma karabiber maydanoz
Közlenmiş Patlıcan Çorbası,patlıca ter yak zeytinyak un sar süt su tuz karabiber kırmız pul biber
Kuskus Çorbası,kuskus makarna kur soğa kıyma sıv yağ domates salças su tuz pulbiber nane
Lokanta Usulü Ezogelin Çorbası,kırmız mercimek bulgur pirinç soğa tereyak un domates salças sıcak su nane pulbiber tuz karabiber
Mantarlı Domates Çorbası,domates püres kül mantar domates salças ter yak un sar su tuz karabiber
Mercimekli Tarhana Çorbası,toz tarha kırmız mercimek domates salças tereyak zeytinyak su karabiber tuz
Nohutlu Tarhana Çorbası,toz tarha haşla nohut ter yak zeytinyak domates salças sar soğuk su kur nane kırmız pul biber karabiber tuz
Patatesli Kabak Çorbası,kabak patates havuç tereyak zeytinyak un süt su tuz karabiber dereo
Patatesli Mercimek Çorbası,kırmız mercimek kur soğa havuç patates ter yak zeytinyak sıcak su tuz karabiber
Pirinç Çorbası,pirinç soğa sivri biber kırmız biber domates domates salças zeytinyak maydanoz sıcak su tuz karabiber
Kremalı Sebze Çorbası,patates havuç kırmız kapya biber soğa kabak haşla bezelye konserve mısır sıv yağ un sıv krema sıcak su tuz karabiber dereo
Sebzeli Tavuk Çorbası,tavuk but havuç kırmız kapya biber yeşil biber sar tereyak sıv yağ un tel şehri maydanoz tavuk su tuz karabiber
Semizotu Çorbası,semizot bulgur soğa zeytinyak su tuz yoğurt yumur sarıs un limo su
Süleymaniye Çorbası,kırmız mercimek ıspanak yaprak patates havuç kabak kur soğa sar tereyak un zeytinyak tuz karabiber sıcak su kıyma
Sütlü Erişte Çorbası,eriş süt su ter yak kur nane kırmız toz biber tuz
Sütlü Mantar Çorbası,kül mantar un sıv yağ süt suy tuz karabiber
Sütlü Mısır Çorbası,haşla konserve mısır süt tavuk su ter yak sıv yağ un dereo tuz pul biber
Sütlü Un Çorbası,un tereyak sıv yağ süt su tuz kırmız toz biber kur nane
Tavuklu Mercimek Çorbası,kırmız mercimek tavuk baget soğa sar un tereyak tuz sıv yağ kırmız toz biber
Tel Şehriye Çorbası,tel şehri haşla nohut domates salças zeytinyak su maydanoz kırmız pul biber tuz
Terbiyeli Ispanak Çorbası,ıspanak soğa sıv yağ su tuz yoğurt yumur sarıs un limo su tereayak kırmız pul biber
Terbiyeli Kavrulmuş Şehriye Çorbası,tel şehri tereyak sıcak su tuz karabiber yumur sarıs yoğurt
Terbiyeli Pırasa Çorbası,pıras ter yak su tuz karabiber yoğurt yumur sarıs un limo su
Terbiyeli Şehriye Çorbası,arpa şehri tereyak su yoğurt yumur sarıs un kur nane kırmız pul biber
Yeşil Mercimekli Mantı Çorbası,yeşil mercimek hazır kayser mantıs yoğurt yumur sarıs un su tuz ter yak nane kırmız pulbiber
Yoğurtlu Mısır Unu Çorbası,mısır un tereyak yoğurt yumur sarıs arpa şehri sıcak su tuz kırmız toz biber kur nane
Yoğurtlu Topalak Çorbası,irmik i bulgur kur soğa yumur ak yumur sarıs sıcak su haşla nohut sıcak su tuz karabiber yoğurt un limo su tereyak zeytinyak kırmız toz biber kur nane
Arpa Şehriye Çorbası,arpa şehri soğa havuç yeşil biber tereyak sıv yağ domates salças limo su maydanoz sıcak su tuz karabiber
Avokado Çorbası,avokado yoğurt salatalık dereo taze nane zeytinyak limo su su tuz
Dövme Buğday Çorbası,aşurelik buğday haşla nohut yumur sarıs un yoğurt tavuk et su tuz ter yak kur nane
Erişteli Kırmızı Mercimek Çorbası,kırmız mercimek eriş haşla nohut zeytinyak ter yak domates salças sıcak su kur nane tuz
Erzincan Çorbası,kıyma tuz karabiber soğa zeytinyak eriş nohut su yoğurt un yumur sarıs limo su sar su tereyak kur nane
Ispanaklı Şehriye Çorbası,ıspanak tel şehri domates salças soğa su zeytinyak tuz karabiber
Karnabahar Yaprağı Çorbası,karnabahar yaprak soğa havuç pirinç zeytinyak domates salças sıcak su maydanoz tuz
Kış Çorbası,ıspanak yaprak havuç un ter yak sar su tuz karabiber
Kıymalı Yeşil Mercimekli Şehriye Çorbası,kıyma yeşil mercimek arpa şehri domates salças maydanoz sıv yağ sıcak su kırmız pul biber karabiber tuz
Kremalı Mercimek Çorbası,kırmız mercimek kur soğa patates sar ter yak sıv yağ domates salças sıv krema sıcak su tuz kur nane karabiber
Mantarlı Tarhana Çorbası,kül mantar toz tarha domates salças biber salças kırmız kapya biber sarıkmsak ter yak su tuz kur nane
Mercimekli Erişteli Yoğurt Çorbası,eriş haşla yeşil mercimek haşla nohut sıcak su yoğurt yumur sarıs un soğa zeytinyak kur nane
Mısırlı Patates Çorbası,patates soğa konserve mısır zeytinyak un su tuz tereyak kırmız toz biber
Nohutlu Patates Çorbası,haşla nohut patates soğa tereyak un su zerdeçal tuz zeytinyak kırmız toz biber
Pancar Çorbası,kırmız pancar patates havuç kur soğa sar zeytinyak su tuz karabiber
Paşazade Çorbası,kıyma soğa gale un maydanoz tuz karabiber patates haşla nohut su yoğurt yumur sarıs un ter yak nane
Pirinçli Tarhana Çorbası,toz tarha pirinç tereyak domates salças biber salças su kırmız pul biber kur nane tuz
Brokoli Çorbası,brokoli soğa havuç patates süt ter yak un tuz karabiber
Sütlü Soğan Çorbası,kur soğa tereyak zeytinyak sar un süt süt tuz karabiber kırmız toz biber
Tavuklu Tarhana Çorbası,toz tarha tavuk but ter yak sar domates salças tavuk su su kur nane tuz
Tavuk Suyu Çorbası,kalçal tavuk but tel şehri soğa sar havuç zeytinyak maydanoz tavuk su tuz karabiber terbi yumur sarıs un su limo su
Yoğurtlu Kabak Çorbası,kabak soğa sar zeytinyak su dereo tuz karabiber yoğurt un kur nane kırmız pul biber
Zerdeçallı Mercimek Çorbası,kırmız mercimek kur soğa zerdeçal ter yak tavuk su sıcak su tuz
Balık Çorbası,levrek balık su ter yak un limo tuz sar sirke
Kıymalı Mantar Çorbası,kül mantar kıyma soğa sar sıv yağ un süt su tuz karabiber tereyak sıv yağ kur nane kırmız toz biber
Mısır Unu Çorbası,mısır un ter yak tel şehri süt su tuz sıvıyak kırmız pul biber kekik
Salçalı Arpa Şehriye Çorbası,arpa şehri domates salças domates sıv yağ su tuz nane
Salçalı Yoğurt Çorbası,domates salças ter yak zeytinyak tel şehri sıcak su maydanoz tuz karabiber yoğurt yumur un
Şehriyeli Domates Çorbası,domates püres domates salças tereyak sıv yağ un su arpa şehri tuz karabiber
Toros Çorbası,irmik i bulgur kur soğa yumur ak yumur sarıs sıcak su haşla nohut sıcak su tuz karabiber yoğurt un limo su tereayak zeytinyak kırmız toz biber kırmız pul biber
Yumurtasız Yoğurt Çorbası,pirinç yoğurt un su tuz tereyak kur nane
Brokolili Mercimek Çorbası,kırmız mercimek brokoli kur soğa sar havuç patates ter yak zeytinyak sıcak su tuz karabiber
Kremalı Brokoli Çorbası,brokoli sar et su süt ter yak un süt kremas tuz karabiber
Mantı Çorbası,küçük ma haşla nohut soğa sar domates salças sıv yağ sıcak su tuz karabiber kırmız pul biber nane
Patlıcan Çorbası,patlıca tereyak un süt su kıyma kırmız toz biber
Salçalı Domates Çorbası,domates salças ter yak sıv yağ un su süt tuz karabiber
Tel Şehriyeli Tarhana Çorbası,toz tarha tereyak tel şehri sar domates salças su tuz
Yoğurtlu Ezogelin Çorbası,kırmız mercimek yoğurt kur soğa domates salças biber salças pilavlık bulgur pirinç tel şehri nane sıv yağ su tuz
Kırmızı Biberli Mantar Çorbası,kül mantar kırmız biber soğa sar un ter yak sıv yağ süt su tuz karabiber
Sebzeli Ezogelin Çorbası,kırmız mercimek kırmız pirinç bulgur kabak havuç patates kur soğa sıcak su tuz karabiber tereyak kur nane kırmız toz biber
Terbiyeli Yoğurt Çorbası,arpa şehri sıv yağ sıcak su yoğurt yumur sarıs un tereayak kur nane
Yeşil Mercimek Çorbası,yeşil mercimek arpa şehri havuç soğa domates salças sıv yağ sıcak su kur nane tuz karabiber
Yoğurtlu Ispanak Çorbası,ıspanak soğa sıv yağ su tuz yoğurt yumur sarıs un limo su
Salçalı Et Çorbası,küçük kase kavrul kuşbaş et zeytinyak domates salças un sarıkmsak et su su kimyo kırmız pul biber kur nane tuz
Yalancı Kelle Paça Çorbası,et su haşlanıp didikle et su un yoğurt yumur sarıs sar tereyak sirke limo su kırmız pul biber
Ezogelin Çorbası,kırmız mercimek kur soğa domates salças biber salças pilavlık bulgur pirinç tel şehri sıv yağ su tuz kur nane
Sütlü Havuç Çorbası,havuç un süt su zeytinyak tuz dereo
Sütlü Patates Çorbası,patates tereyak un süt su tuz kırmız pul biber nane
Taneli Sebze Çorbası,patates havuç kapya biber soğa kabak sar maydanoz ter yak sıv yağ su tuz yoğurt yumur sarıs un limo su
Arpa Şehriyeli Kırmızı Mercimek Çorbası,kırmız mercimek arpa şehri soğa kırmız kapya biber domates salças kur nane pulbiber sıvıyak sıcak su tuz
Bademli Tavuk Çorbası,tavuk budu fil bade tereyak un hazır süt kremas tavuk su tuz pul biber
Enginar Çorbası,çanak enginar un limo su yumur sarıs tuz su dereo
Kıymalı Arpa Şehriye Çorbası,arpa şehri kavrul kıyma domates salças su maydanoz limo su tuz karabiber
Kıymalı Mercimek Çorbası,yeşil mercimek arpa şehri kıyma soğa domates salças su tuz karabiber ter yak nane
Közlenmiş Domates Çorbası,domates soğa domates salças sarıkmsak ter yak su tuz karabiber
Labneli Domates Çorbası,domates püres labne peynir ter yak un su tuz karabiber fesleğe
Sebzeli Köy Tavuğu Çorbası,köy tavuk budu havuç domates maydanoz tel şehri su tuz karabiber
Tavuklu Buğday Çorbası,buğday yoğurt tavuk göğsü un yumur sarıs su tereayak kırmız toz biber
Un Çorbası,un tereyak sıvıyak limo su sar yumur sarıs su tuz karabiber kırmız toz biber
Yoğurtlu Bulgur Çorbası,bulgur yumur sarıs un yoğurt su tuz ter yak kur nane
Yoğurtlu Mercimek Çorbası,yeşil mercimek yoğurt un yumur sarıs su tuz tereyak kur nane
Bostana Salatası,domates salatalık yeşil sivri biber maydanoz soğa zeytinyak biber salças domates salças nar ekşis sumak kırmız pul biber tuz
Coleslaw Salatası,küçük boy beyaz laha or boy havuç mayonez küçük boy kur soğa taze sıkıl limo su toz şeker tuz sirke
Havuçlu Kabak Tarator,havuç kabak yoğurt mayonez dereo sar zeytinyak tuz kırık cev kırmız toz biber
Köpoğlu,patlıca çerlisto biber domates sar zeytinyak yoğurt tuz
Nuraniye Salatası,kabak pirinç dereo maydanoz taze soğa zeytinyak sar yoğurt kur nane tuz
Vardabit Paçası,kur fasulye tırnak pides tah limo su sarıkmsak fasulye su kimyo tuz zeytinyak ter yak kırmız pul biber maydanoz
Babagannuş,patlıca kırmız biber yeşil biber soğa sar domates maydanoz biber salças zeytinyak limo su tuz
Manca,patlıca kırmız kapya biber çarlisto biber domates maydanoz sar zeytinyak sirke tuz
Tahinli Tarator,tah süzme yoğurt limo su sar zeytinyak kimyo tuz maydanoz cev kırık
Teretür,marul maydanoz süzme yoğurt tah limo su sar zeytinyak tuz
Atom Meze,süzme yoğurt kurutul sivri biber sarıkmsak zeytinyak ter yak kırmız toz biber tuz
Cunda Cacığı,salatalık süzme yoğurt zeytinyak taze nane sar tuz dereo
Hardallı Patates Salatası,patates hardal mayonez yoğurt taze soğa maydanoz dereo tuz karabiber kırmız pul biber
Havuç Tarator,havuç cev yoğurt mayonez sar zeytinyak tuz
Kırmızı Lahana Turşusu,mor laha limo toz şeker tuz
Lokanta Usulü Cacık,salatalık yoğurt su sar kur nane tuz zeytinyak
Mercimek Fava,kırmız mercimek soğa sar zeytinyak kimyo karabiber zerdeçal tuz kırmız soğa dereo
Pancarlı Patates Salatası,patates kırmız pancar havuç zeytinyak konserve mısır sar yoğurt mayonez dereo tuz karabiber
Şalgamlı Makarna Salatası,makarna şalga su su kırmız kapya biber konserve mısır kornişo turşu maydanoz dereo limo su zeytinyak tuz
Semizotu Salatası,semizot domates salatalık konserve mısır cev beyaz peynir zeytinyak limo su tuz
Tabule Salatası,kısırlık i bulgur kaynar su maydanoz taze soğa taze nane domates salatalık nar limo zeytinyak tuz
Tavuklu Taze Fasulye Salatası,tavuk göğsü fileto taze fasulye konserve mısır kornişo turşu közle kırmız biber yoğurt mayonez sar tuz
Yoğurtlu Kabak Salatası,kabak yoğurt dereo cev iç sar tuz
Yoğurtlu Kırmızı Biber Salatası,kırmız kapya biber süzme yoğurt yoğurt zeytinyak sar tuz cev iç zeytinyak kırmız toz biber
Yoğurtlu Sebzeli Erişte Salatası,eriş sıv yağ sıcak su kabak havuç kırmız kapya biber haşla konserve mısır kornişo turşu dereo mayonez yoğurt tuz zeytinyak kırık cev kırmız toz biber
Antep Usulü Mercimek Köftesi,kırmız mercimek i bulgur maydanoz taze soğa sar limo su tuz kur soğa zeytinyak biber salças karabiber kimyo kırmız pulbiber
Brokolili Karnabahar Salatası,brokoli karnabahar havuç konserve mısır haşla bezelye kornişo turşu maydanoz limo su zeytinyak tuz
Cevizli Zeytin Salatası,dilimle yeşil ze cev iç or boy domates taze soğa maydanoz kırmız kapya biber nar ekşis zeytinyak limo su kırmız pul biber sumak kekik tuz
Erişteli Nohutlu Salata,eriş nohut sar yoğurt tuz ter yak kırmız toz biber kırık cev
Havuçlu Nuraniye Salatası,kabak havuç pirinç taze soğa dereo maydanoz sar zeytinyak yoğurt mayonez tuz
Kabak Mezesi,kabak yoğurt mayonez dereo sar zeytinyak tuz cev kırmız toz biber
Karışık Lahana Salatası,beyaz laha kırmız laha havuç kornişo turşu konserve mısır dereo süzme yoğurt mayonez sar tuz
Kerevizli Ege Ezmesi,kerev süzmel peynir yoğurt cev limo kabuk limo su sarıkmsak dereo tuz
Kırmızı Pancar Salatası,kırmız pancar soğa sar zeytinyak cev yoğurt tuz
Lahana Salatası,laha havuç cev mayonez yoğurt elma sirkes limo su toz şeker tuz
Mercimekli Çoban Salatası,yeşil mercimek domates salatalık sivri biber kur soğa maydanoz limo su nar ekşis sumak nane zeytinyak tuz
Mor Lahanalı Havuç Tarator,havuç mor laha zeytinyak yoğurt mayonez sar dereo tuz cev
Mor Lahana Tarator,mor laha zeytinyak sar yoğurt mayonez tuz
Orijinal Haydari,süzme yoğurt beyaz peynir tereyak kur nane sar dereo tuz zeytinyak
Pancarlı Beyaz Lahana Salatası,kırmız pancar beyaz laha havuç konserve mısır maydanoz cev iç zeytinyak sirke limo su tuz
Patates Borani,patates kur soğa zeytinyak karabiber kırmız toz biber tuz yoğurt sar tereyak dolusudomates salças
Pırasa Borani,pıras soğa sar zeytinyak karabiber tuz yoğurt kırmız toz biber
Piyaz,kur fasulye kur soğa taze soğa domates maydanoz limo zeytinyak tuz karabiber kırmız pul biber sumak
Salatalık Mezesi,salatalık tuz kırmız pul biber kırmız toz biber karabiber nar ekşis zeytinyak limo su sar
Sebzeli Tavuk Salatası,tavuk göğsü haşla bezelye havuç konserve mısır kırmız biber kornişo turşu sar dereo yoğurt mayonez tuz
Semizotu Yoğurtlaması,semizot yoğurt sar tuz kırmız pul biber zeytinyak
Tavuk Göğsü Salatası,tavuk göğsü fileto havuç közle kırmız biber konserve mısır haşla bezelye kornişo turşu dereo sar yoğurt mayonez tuz karabiber zeytinyak
Tavuklu Erişte Salatası,eriş tavuk göğsü fileto yeşil mercimek sıv yağ sarıkmsak yoğurt mayonez cev tuz ter yak kırmız toz biber
Tavuklu Kereviz Salatası,tavuk göğsü kerev kırık cev yoğurt mayonez sar maydanoz tuz
Tavuklu Semizotu Salatası,semizot tavuk göğsü fileto konserve mısır bade salatalık kırmız biber kırık cev yoğurt mayonez sar
Üç Renkli Brokoli Salatası,brokoli arpa şehri havuç konserve mısır yoğurt mayonez maydanoz tuz
Yeşil Domates Turşusu,yeşil domates sar kerev yaprak ir ka tuz toz şeker elma sirkes i̇çme su
Yeşil Mercimekli Bulgur Köftesi,köftelik i bulgur yeşil mercimek sıcak su patates kur soğa domates salças sıv yağ maydanoz dereo tuz kırmız pulbiber kimyo karabiber
Yoğurtlu Bakliyat Salatası,haşla kur fasulye haşla nohut haşla buğday haşla yeşil mercimek konserve mısır közle kırmız biber yoğurt sar maydanoz dereo tuz kırık cev zeytinyak kırmız toz biber
Yoğurtlu Kabak Borani,yeşil kabak soğa zeytinyak yoğurt sar tuz kırmız toz biber
Yoğurtlu Makarna Salatası,küçük makarna közle kırmız biber garnitür konserve mısır kornişo turşu dereo sarıkmsak yoğurt mayonez tuz
Yoğurtlu Mercimek Ezmesi,kırmız mercimek su kur soğa patates i bulgur domates salças zeytinyak maydanoz taze soğa kimyo kırmız pul biber karabiber tuz süzme yoğurt sar kırmız toz biber
Yoğurtlu Yeşil Mercimek Salatası,yeşil mercimek arpa şehri konserve mısır sar dereo mayonez yoğurt tuz zeytinyak kırmız toz biber
Acılı Cevizli Ezme,cev iç domates salças biber salças zeytinyak sarıkmsak kırmız toz biber kırmız pul biber kur nane karabiber kimyo tuz
Alman Salatası,salatalık tuz yoğurt toz şeker elma sirkes zeytinyak sar toz dereo
Bamya Turşusu,taze bamya sirke ka tuz limo tuz sar kaynar su
Brokoli Mezesi,brokoli havuç süzme yoğurt mayonez konserve mısır kırık cev sar dereo zeytinyak tuz
Cevizli Makarna Salatası,makarna kabak havuç kırmız kapya biber sar cev konserve mısır haşla bezelye dereo yoğurt zeytinyak tuz cev iç kırmız toz biber
Çiğ Kereviz Salatası,kerev yoğurt mayonez sar kerev yaprak tuz
Elmalı Kereviz Salatası,kerev havuç ekşi yeşil elma yoğurt sarıkmsak cev tuz
Fasulye Salatası,taze fasulye közle kırmız biber konserve mısır kornişo turşu taze soğa maydanoz dereo limo zeytinyak tuz
Hatay Usulü Kısır,esmer bulgur ılık su domates salças biber salças isot acıl pul biber nar ekşis zeytinyak limo su kimyo sar taze soğa maydanoz taze nane
Havuçlu Kereviz Salatası,kerev havuç yoğurt dereo sar cev zeytinyak tuz
Havuç Mezesi,havuç yoğurt mayonez sar dereo zeytinyak tuz
İç Baklalı Enginar Salatası,iç bak enginar çanak taze soğa dereo limo su zeytinyak tuz
Kabak Tarator,kabak dereo cev zeytinyak sar yoğurt tuz
Kavrulmuş Erişte Salatası,eriş sıv yağ sıcak su közle kırmız biber kornişo turşu haşla konserve mısır taze soğa maydanoz limo su zeytinyak tuz
Kebapçı Salatası,domates salatalık sivri biber kur soğa maydanoz limo su karabiber nar ekşis sumak zeytinyak tuz
Kırmızı Fasulye Salatası,kırmız fasulye kırmız kapya biber haşla konserve mısır kornişo turşu maydanoz dereo taze soğa zeytinyak limo su tuz
Kırmızı Soğan Salatası,kırmız soğa maydanoz sumak kırmız pul biber zeytinyak limo su tuz
Köz Biberli Patates Salatası,patates kırmız kapya biber kornişo turşu konserve mısır havuç dereo yoğurt mayonez sar
Lor Peyniri Salatası,lor peynir domates salatalık yeşil biber kırmız kapya biber cev iç maydanoz çörek ot zeytinyak tuz
Mantar Salatası,kül mantar kırmız biber kornişo turşu konserve mısır biberli ze dereo maydanoz limo su zeytinyak tuz
Mercimekli Kabak Salatası,kabak yeşil mercimek soğa yoğurt sar dereo zeytinyak tuz kırmız toz biber
Mısır Salatası,konserve mısır havuç kırmız biber biberli yeşil ze dereo maydanoz limo su zeytinyak tuz
Mor Lahanalı Makarna Salatası,makarna mor laha konserve mısır kornişo turşu maydanoz yoğurt mayonez sar zeytinyak tuz
Mor Lahana Salatası,or boy mor laha limo sirke nar ekşis silme tuz maydanoz dereo zeytinyak
Mütebbel,patlıca tah limo su sar tuz zeytinyak maydanoz
Nohut Salatası,nohut kırmız biber kornişo turşu konserve mısır maydanoz dereo nane zeytinyak limo su tuz
Patatesli Mercimek Köftesi,kırmız mercimek patates i bulgur su zeytinyak kur soğa sar domates salças biber salças limo su nar ekşis taze soğa maydanoz kimyo kırmız pul biber karabiber tuz
Patlıcanlı Haydari,patlıca süzmel yoğurt ezil beyaz peynir rendele sar zeytinyak tuz karabiber nane kırmız toz biber
Rokalı Pancar Salatası,kırmız pancar soğa sar yoğurt cev rok nar ekşis elma sirkes zeytinyak tuz
Sirkeli Kırmızı Lahana Salatası,mor laha elma sirkes tuz
Soğan Salatası,soğa maydanoz sumak kırmız pul biber zeytinyak limo su tuz
Tavuklu Arpa Şehriye Salatası,arpa şehri tavuk göğsü kırmız biber havuç salatalık kornişo turşu konserve mısır taze soğa dereo maydanoz zeytinyak limo su tuz
Tavuklu Patates Salatası,tavuk göğsü fileto patates dereo konserve mısır kornişo turşu yoğurt hardal sar tuz
Taze Soğan Salatası,taze soğa çer domates salatalık sivri biber zeytinyak limo su tuz
Ton Balıklı Meze,ton balık soğa konserve mısır siyah ze dil yeşil ze dil maydanoz dereo mayonez tuz
Yoğurtlu Brokoli Ezmesi,brokoli havuç yoğurt mayonez sar tuz
Yoğurtlu Mercimekli Semizotu Salatası,semizot yeşil mercimek kırmız biber sar yoğurt tuz kur nane kırmız pul biber
Yumurtalı Kısır,kısırlık bulgur karabiber kimyo kur nane kırmız pulbiber tuz limo su yumur sıv yağ soğa sar zeytinyak domates salças biber salças maydanoz taze nane taze soğa
Baharatlı Patates Salatası,patates zeytinyak sar toz zerdeçal kırmız toz biber kekik tuz
Brokoli Salatası,brokoli patates havuç dereo yoğurt mayonez sar tuz kırmız toz biber sıv yağ
Çiğ Pancar Salatası,pancar cev maydanoz nar ekşis zeytinyak limo su tuz
Havuçlu Pazı Salatası,paz soğa havuç yoğurt zeytinyak sar tuz
Kabak Şayan,kabak zeytinyak sar yoğurt mayonez tuz cev kur nane kırmız pul biber
Kereviz Yaprağı Salatası,kerev yaprak havuç yeşil biber maydanoz limo su zeytinyak nar ekşis tuz
Kuskus Salatası,kuskus makarna kırmız biber havuç kornişo turşu konserve mısır maydanoz dereo zeytinyak limo su tuz
Lokanta Usulü Mor Lahana Salatası,mor laha limo sirke tuz zeytinyak
Patatesli Kereviz Salatası,patates kerev havuç yoğurt haşla mısır sar mayonez dereo tuz
Şalgamlı Bulgur Salatası,kal bulgur acıs şalga su kornişo turşu konserve mısır maydanoz dereo zeytinyak limo su tuz
Soğanlı Patates Salatası,patates kur soğa sar zeytinyagı kırmız toz biber karabiber kimyo zerdeçal tuz
Taratorlu Deniz Börülcesi,de börülces süzme yoğurt cev iç ekmek sar zeytinyak limo su
Yoğurtlu Brokoli Salatası,brokoli yoğurt sıv yağ kırmız pul biber tuz
Yoğurtlu Kereviz Salatası,kerev yoğurt mayonez sar tuz cev iç
Yoğurtlu Mercimekli Erişte Salatası,eriş yeşil mercimek sarıkmsak yoğurt tuz cev ter yak kırmız toz biber
